Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-05-19,1019.95,1023.0,1001.1,1016.4,1014.45,528414.0,5348.61
2017-05-22,1012.5,1034.95,1012.5,1015.0,1022.05,498780.0,5097.02
2017-05-23,1022.05,1028.0,1005.05,1015.0,1012.6,509392.0,5156.09
2017-05-24,1015.05,1021.5,971.15,1013.0,1009.1,554470.0,5551.08
2017-05-25,1010.0,1064.9,1004.15,1033.0,1042.05,1438320.0,14800.74
2017-05-26,1039.0,1039.95,984.3,985.2,991.25,604013.0,6129.0
2017-05-29,993.95,997.95,967.0,967.0,974.0,623178.0,6100.96
2017-05-30,976.0,979.95,925.1,931.2,935.5,476133.0,4476.31
2017-05-31,973.8,975.0,948.0,956.0,960.85,471100.0,4535.12
2017-06-01,964.95,976.0,945.0,970.1,971.4,528832.0,5063.69
2017-06-02,978.0,990.0,967.3,985.0,984.5,447824.0,4395.12
2017-06-05,985.0,1005.0,982.0,982.9,990.3,428091.0,4270.72
2017-06-06,989.95,997.0,962.5,968.0,971.05,348570.0,3429.14
2017-06-07,974.15,990.0,974.15,987.5,987.25,570210.0,5610.04
2017-06-08,987.3,1002.6,987.3,990.0,994.1,395055.0,3922.16
2017-06-09,992.1,999.45,986.15,992.1,991.85,404160.0,4008.03
2017-06-12,993.8,1000.9,990.0,998.0,996.3,620288.0,6163.27
2017-06-13,992.65,1022.6,992.0,1000.0,1002.3,783709.0,7830.1
2017-06-14,1004.95,1024.95,1004.95,1006.0,1012.25,448993.0,4539.73
2017-06-15,1006.0,1055.0,1000.05,1039.0,1043.8,921752.0,9459.93
2017-06-16,1042.0,1064.9,1021.9,1030.0,1035.3,500860.0,5213.91
2017-06-19,1044.95,1060.0,1031.0,1044.0,1048.7,499641.0,5245.43
2017-06-20,1050.0,1063.95,1045.0,1050.0,1054.0,428165.0,4507.52
2017-06-21,1050.0,1072.95,1045.35,1047.5,1050.85,701064.0,7411.32
2017-06-22,1050.1,1057.0,1025.05,1028.0,1039.5,609823.0,6389.08
2017-06-23,1041.0,1049.9,1025.0,1039.0,1036.85,620121.0,6411.53
2017-06-27,1032.0,1059.9,1032.0,1050.5,1049.85,560521.0,5866.78
2017-06-28,1050.2,1059.0,1037.35,1042.65,1044.65,486360.0,5091.24
2017-06-29,1050.0,1064.0,1037.1,1046.8,1043.1,540767.0,5675.52
2017-06-30,1042.85,1118.4,1026.0,1110.0,1110.9,1273950.0,13815.38
2017-07-03,1121.7,1178.7,1103.8,1159.2,1165.35,1973841.0,22520.36
2017-07-04,1165.95,1179.0,1130.0,1139.95,1138.4,1261331.0,14518.37
2017-07-05,1146.0,1152.4,1123.1,1127.45,1133.1,956916.0,10874.26
2017-07-06,1135.0,1150.0,1129.85,1131.0,1133.15,450251.0,5125.23
2017-07-07,1134.0,1158.4,1120.0,1148.0,1148.6,714651.0,8108.03
2017-07-10,1160.0,1165.0,1146.0,1147.6,1148.95,125488.0,1451.47
2017-07-11,1158.0,1163.7,1127.65,1129.0,1130.5,444905.0,5066.08
2017-07-12,1139.0,1139.0,1098.4,1107.0,1104.1,423580.0,4719.48
2017-07-13,1112.0,1130.4,1107.8,1122.95,1126.1,406235.0,4545.15
2017-07-14,1139.0,1149.85,1120.7,1122.25,1130.05,548385.0,6228.12
2017-07-17,1131.0,1141.2,1106.55,1119.0,1124.4,543758.0,6109.11
2017-07-18,1114.25,1206.8,1114.25,1174.0,1184.5,1684951.0,19613.72
2017-07-19,1180.0,1232.9,1171.3,1196.95,1212.8,2325934.0,27916.64
2017-07-20,1198.0,1258.0,1190.05,1245.0,1248.8,1547658.0,18998.98
2017-07-21,1253.6,1282.3,1240.0,1260.0,1270.15,884765.0,11206.33
2017-07-24,1267.8,1313.0,1261.35,1300.0,1299.95,932101.0,12069.66
2017-07-25,1302.8,1361.5,1282.0,1325.0,1321.25,1287688.0,17140.37
2017-07-26,1329.95,1383.0,1325.0,1369.0,1370.8,1312728.0,17822.21
2017-07-27,1379.8,1433.0,1291.0,1296.0,1352.35,3475858.0,48150.56
2017-07-28,1279.6,1314.95,1255.0,1298.2,1305.75,1082142.0,14023.29
2017-07-31,1314.8,1436.3,1308.0,1417.0,1415.35,1954916.0,26917.04
2017-08-01,1420.0,1469.85,1385.15,1440.0,1444.4,1436011.0,20505.82
2017-08-02,1450.2,1468.65,1371.55,1377.2,1381.5,2473414.0,34514.36
2017-08-03,1381.55,1432.0,1373.0,1401.95,1399.25,2174507.0,30686.76
2017-08-04,1390.0,1436.7,1390.0,1411.0,1415.35,1161575.0,16433.69
2017-08-07,1424.0,1465.0,1415.1,1457.0,1457.9,923138.0,13376.07
2017-08-08,1458.2,1505.75,1451.05,1465.0,1466.65,1281259.0,18992.15
2017-08-09,1468.0,1476.75,1421.0,1430.0,1442.0,621452.0,9016.32
2017-08-10,1425.0,1451.5,1330.5,1365.0,1358.25,941468.0,13338.65
2017-08-11,1354.7,1396.8,1250.0,1389.95,1375.15,652327.0,8889.46
2017-08-14,1395.0,1458.25,1395.0,1430.0,1431.1,792037.0,11327.05
2017-08-16,1437.9,1463.4,1425.05,1434.95,1435.7,515837.0,7461.54
2017-08-17,1454.9,1467.65,1401.55,1423.7,1414.95,448524.0,6447.26
2017-08-18,1411.0,1426.5,1362.05,1418.0,1418.55,494802.0,6915.63
2017-08-21,1424.0,1445.0,1386.05,1399.25,1395.6,444257.0,6264.06
2017-08-22,1407.5,1419.6,1382.0,1385.25,1389.1,416179.0,5828.63
2017-08-23,1397.0,1416.95,1391.0,1406.45,1405.4,419290.0,5878.76
2017-08-24,1406.0,1448.8,1402.2,1438.95,1435.5,470183.0,6691.8
2017-08-28,1443.0,1457.35,1416.95,1451.0,1452.05,457642.0,6575.04
2017-08-29,1451.0,1474.7,1435.0,1438.0,1442.05,686531.0,10018.02
2017-08-30,1453.95,1477.35,1438.0,1470.0,1470.3,628978.0,9228.23
