Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-11-28,1212.9,1239.95,1182.05,1201.35,1197.0,388368.0,4696.96
2016-11-29,1217.4,1232.0,1186.85,1205.0,1198.75,336883.0,4069.0
2016-11-30,1214.6,1220.0,1175.0,1190.0,1193.85,447128.0,5344.72
2016-12-01,1186.25,1205.0,1140.0,1158.0,1159.2,370686.0,4345.33
2016-12-02,1140.0,1164.95,1125.25,1134.9,1137.7,340664.0,3895.97
2016-12-05,1140.25,1188.0,1131.65,1139.0,1148.25,333121.0,3863.43
2016-12-06,1143.0,1164.95,1135.0,1142.0,1139.65,342523.0,3941.06
2016-12-07,1150.25,1161.5,1135.1,1154.0,1146.5,326659.0,3744.57
2016-12-08,1155.05,1167.55,1142.05,1149.9,1152.5,317457.0,3662.98
2016-12-09,1158.95,1180.0,1116.3,1131.5,1127.4,400958.0,4602.36
2016-12-12,1145.0,1145.0,1100.0,1119.0,1109.25,291278.0,3253.14
2016-12-13,1087.1,1140.0,1087.1,1113.0,1119.9,312919.0,3526.99
2016-12-14,1119.9,1132.0,1100.0,1100.1,1112.45,339208.0,3798.28
2016-12-15,1099.8,1118.0,1099.1,1110.0,1108.5,334013.0,3703.77
2016-12-16,1115.0,1129.5,1089.1,1094.0,1106.65,342466.0,3813.44
2016-12-19,1100.0,1100.0,1060.0,1064.0,1065.5,315882.0,3385.08
2016-12-20,1066.0,1097.55,1037.05,1097.55,1090.2,319327.0,3417.08
2016-12-21,1098.95,1154.0,1085.0,1136.0,1117.0,326892.0,3618.68
2016-12-22,1135.0,1205.95,1115.0,1158.9,1182.5,335498.0,3794.69
2016-12-23,1169.8,1200.0,1140.0,1180.1,1160.75,347057.0,4073.62
2016-12-26,1162.0,1230.4,1153.9,1158.0,1159.4,306478.0,3584.86
2016-12-27,1151.15,1168.3,1145.0,1152.0,1155.9,314521.0,3635.39
2016-12-28,1150.0,1165.9,1147.0,1157.0,1160.4,329514.0,3816.44
2016-12-29,1151.0,1187.9,1150.0,1171.0,1172.65,319719.0,3740.38
2016-12-30,1170.55,1191.5,1161.9,1166.0,1173.9,340359.0,4009.78
2017-01-02,1176.0,1183.0,1154.0,1168.0,1170.35,311684.0,3640.07
2017-01-03,1188.9,1193.65,1155.0,1173.5,1166.7,311108.0,3643.38
2017-01-04,1171.55,1213.6,1162.7,1195.1,1196.2,393048.0,4701.1
2017-01-05,1200.0,1219.25,1185.0,1202.95,1199.25,357162.0,4298.06
2017-01-06,1190.0,1209.85,1190.0,1200.0,1197.2,378189.0,4525.62
2017-01-09,1210.0,1211.0,1182.65,1190.0,1189.3,359512.0,4297.59
2017-01-10,1189.3,1208.8,1175.0,1178.0,1182.3,343869.0,4076.37
2017-01-11,1200.0,1204.0,1166.0,1176.05,1178.7,311788.0,3681.71
2017-01-12,1189.95,1193.6,1136.05,1145.0,1153.2,342761.0,3994.33
2017-01-13,1170.0,1179.0,1138.15,1150.0,1155.45,314322.0,3617.67
2017-01-16,1156.95,1164.0,1140.6,1140.6,1149.35,315097.0,3625.39
2017-01-17,1149.9,1157.5,1144.05,1146.0,1148.7,327314.0,3766.71
2017-01-18,1160.0,1160.0,1147.05,1154.95,1151.8,325842.0,3750.05
2017-01-19,1158.0,1165.0,1148.0,1148.1,1149.6,364630.0,4199.49
2017-01-20,1159.6,1177.5,1147.8,1160.0,1152.5,335555.0,3905.48
2017-01-23,1154.7,1174.8,1142.7,1160.15,1162.3,330506.0,3815.03
2017-01-24,1174.85,1179.9,1142.5,1166.95,1149.35,357454.0,4114.33
2017-01-25,1160.0,1309.0,1160.0,1275.0,1269.35,705350.0,8998.71
2017-01-27,1278.9,1338.0,1270.05,1288.0,1296.35,538199.0,6983.79
2017-01-30,1285.05,1303.95,1252.0,1260.0,1256.0,367437.0,4673.59
2017-01-31,1255.0,1271.8,1240.05,1265.0,1260.55,346435.0,4353.21
2017-02-01,1268.4,1270.0,1245.85,1266.0,1267.0,311277.0,3916.09
2017-02-02,1270.0,1281.7,1254.15,1264.0,1265.35,311787.0,3944.5
2017-02-03,1260.0,1280.0,1256.0,1275.0,1273.9,321486.0,4078.41
2017-02-06,1275.0,1318.0,1272.0,1294.9,1283.8,422055.0,5480.51
2017-02-07,1285.05,1348.9,1282.2,1340.0,1339.6,469200.0,6157.77
2017-02-08,1349.9,1375.0,1330.05,1370.0,1359.85,529743.0,7206.26
2017-02-09,1365.0,1390.0,1360.05,1370.0,1374.15,531100.0,7316.74
2017-02-10,1379.9,1384.75,1341.4,1355.0,1355.9,498032.0,6789.77
2017-02-13,1365.25,1397.4,1345.1,1364.0,1365.4,518665.0,7102.06
2017-02-14,1403.0,1438.8,1380.5,1385.25,1387.6,566926.0,7953.17
2017-02-15,1371.0,1398.4,1355.0,1355.5,1361.4,487763.0,6693.64
2017-02-16,1355.0,1384.95,1341.35,1361.95,1368.25,471432.0,6451.37
2017-02-17,1371.0,1378.5,1345.25,1347.25,1358.6,463444.0,6334.13
2017-02-20,1360.0,1382.0,1350.1,1356.2,1365.4,465616.0,6356.77
2017-02-21,1360.0,1425.0,1349.5,1408.1,1409.7,539503.0,7468.92
2017-02-22,1413.0,1448.8,1405.25,1430.0,1428.0,502506.0,7195.47
2017-02-23,1435.0,1438.0,1395.0,1412.95,1411.4,518059.0,7332.98
2017-02-27,1410.0,1432.0,1396.0,1404.0,1401.2,502484.0,7105.55
2017-02-28,1408.7,1409.9,1360.55,1385.5,1381.4,496300.0,6897.58
2017-03-01,1383.0,1413.95,1371.05,1390.0,1394.8,527856.0,7365.6
2017-03-02,1396.0,1404.6,1375.0,1375.0,1387.2,427573.0,5943.99
2017-03-03,1382.7,1410.0,1376.4,1377.15,1387.25,422603.0,5876.48
2017-03-06,1387.3,1406.95,1375.25,1378.25,1389.4,440551.0,6141.21
2017-03-07,1398.0,1409.5,1376.0,1390.05,1391.25,390667.0,5440.18
2017-03-08,1399.8,1402.0,1381.15,1383.0,1387.15,424992.0,5917.11
2017-03-09,1395.0,1396.0,1370.0,1380.15,1377.5,405088.0,5624.11
2017-03-10,1380.05,1396.0,1343.0,1390.0,1381.85,430559.0,5959.08
2017-03-14,1418.75,1418.75,1381.0,1405.0,1397.85,447430.0,6233.5
2017-03-15,1395.0,1414.7,1385.1,1405.0,1399.15,405309.0,5651.28
2017-03-16,1405.75,1411.0,1391.0,1411.0,1403.5,421465.0,5895.02
2017-03-17,1395.05,1418.95,1372.15,1404.0,1405.7,455062.0,6363.5
2017-03-20,1405.7,1428.0,1393.15,1418.75,1411.75,422992.0,5957.87
2017-03-21,1413.95,1419.95,1390.5,1400.0,1398.05,424546.0,5958.42
2017-03-22,1394.0,1398.95,1314.0,1320.05,1352.85,448860.0,6160.39
2017-03-23,1345.0,1400.0,1320.25,1386.0,1393.95,578059.0,7959.56
2017-03-24,1394.95,1394.95,1360.0,1369.8,1379.3,464581.0,6451.72
2017-03-27,1374.3,1374.6,1111.15,1255.0,1218.95,1089541.0,13671.08
2017-03-28,1228.0,1250.05,1143.0,1208.1,1215.2,737854.0,8915.04
2017-03-29,1224.0,1234.8,1169.05,1170.1,1175.8,672302.0,8008.93
2017-03-30,1199.0,1199.0,1120.0,1123.0,1126.85,568374.0,6437.48
2017-03-31,1121.0,1138.95,901.5,944.0,947.15,3312168.0,32750.15
2017-04-03,940.0,1000.0,919.25,936.0,948.65,2716340.0,25967.02
2017-04-05,935.0,970.05,935.0,937.0,936.9,558608.0,5282.95
2017-04-06,945.0,959.8,942.0,954.7,953.4,535910.0,5083.98
2017-04-07,955.0,985.0,955.0,976.0,971.15,410458.0,3981.77
2017-04-10,975.0,985.45,966.2,974.0,971.2,161845.0,1579.71
2017-04-11,973.0,999.0,965.0,989.7,989.45,374560.0,3676.97
2017-04-12,981.0,1007.0,980.0,1005.1,997.15,437916.0,4321.43
2017-04-13,1004.4,1034.9,1000.0,1019.75,1023.4,429705.0,4345.01
2017-04-17,1030.0,1144.65,1025.05,1066.0,1072.45,984989.0,10556.67
2017-04-18,1080.0,1123.0,1065.0,1070.05,1070.65,817517.0,8977.23
2017-04-19,1071.25,1104.95,1050.0,1095.0,1094.8,570733.0,6094.82
2017-04-20,1094.8,1129.2,1072.25,1090.05,1095.55,448486.0,4926.48
2017-04-21,1096.75,1114.7,1090.05,1097.8,1100.2,386409.0,4264.46
2017-04-24,1109.0,1122.4,1092.0,1099.0,1097.25,369268.0,4088.31
2017-04-25,1108.5,1130.0,1090.0,1102.0,1112.6,475758.0,5257.93
2017-04-26,1110.0,1129.0,1095.0,1103.1,1104.35,420222.0,4671.72
2017-04-27,1110.0,1114.0,1061.1,1100.1,1100.6,871685.0,9553.24
2017-04-28,1091.2,1104.65,1048.05,1051.0,1059.45,524300.0,5609.72
2017-05-02,1057.7,1079.0,1033.0,1046.05,1044.1,549838.0,5776.73
2017-05-03,1051.0,1056.0,1023.65,1037.0,1033.2,392551.0,4077.34
2017-05-04,1042.0,1057.75,1010.05,1019.0,1023.25,499135.0,5186.25
2017-05-05,1026.5,1059.0,1011.0,1046.0,1038.3,452907.0,4666.42
2017-05-08,1046.0,1046.0,989.0,1005.0,1005.55,532953.0,5408.79
2017-05-09,1000.0,1024.0,965.7,1016.55,1007.65,455720.0,4549.74
2017-05-10,1015.0,1023.6,992.0,1005.0,1003.15,419123.0,4232.81
2017-05-11,1009.7,1029.85,991.05,1006.0,1005.6,767696.0,7741.58
2017-05-12,1014.25,1015.15,970.0,995.0,998.55,775713.0,7708.15
2017-05-15,1000.0,1008.8,986.0,996.0,995.75,407462.0,4075.19
2017-05-16,991.1,1016.95,980.0,999.0,996.2,507736.0,5073.36
2017-05-17,1008.7,1019.0,982.25,1003.55,998.75,1455839.0,14455.45
2017-05-18,992.0,1013.0,990.3,1005.1,1004.95,487403.0,4890.67
